customer_id,first_name,last_name,email,phone_number,city,signup_date,last_updated_timestamp
1,Daniel,Reed,azimmerman@ramirez-nelson.com,811-724-1080,Tiffanyview,12/25/2023,9/15/2025 15:21
2,Jonathan,Hansen,williammiller@serrano-jones.com,632-190-4027x0198,Baldwinburgh,1/23/2021,9/19/2025 20:19
3,Samuel,Rodriguez,troy07@carrillo-webb.info,676.094.0716,New Ashley,5/31/2025,9/13/2025 3:45
4,Victor,Sanchez,jonthompson@thomas.biz,960-929-2694,Stephanieton,8/31/2024,8/23/2025 0:38
5,Sabrina,Black,patricknewman@williams.biz,+1-621-699-9458x79470,South Christopherport,5/18/2023,8/20/2025 16:08
6,Melissa,Blair,courtney29@gmail.com,(332)469-2812x91807,East Pamela,9/17/2025,8/24/2025 9:44
7,Jacqueline,Williams,robertmoore@gmail.com,7312603248,Fritzmouth,5/29/2023,8/28/2025 19:40
8,Christina,Arnold,parkerbridget@yahoo.com,(878)682-1357,North Sarah,9/21/2023,9/6/2025 20:36
9,Lisa,Shelton,cody49@johnson.org,9349468560,South Kyleview,12/13/2022,9/8/2025 14:57
10,Megan,Dean,vritter@yahoo.com,001-967-061-8100x482,Port Jesse,3/12/2023,9/7/2025 23:05
11,Barbara,Anderson,kristen04@hotmail.com,392.066.9676x001,South Stephanieberg,4/28/2022,9/7/2025 3:15
12,Laura,Roman,wilsonlaura@lewis.com,+1-648-097-6914x62270,Andrewton,11/10/2023,9/1/2025 23:32
13,Melissa,Knight,tabitha21@ferguson.com,619-904-4971x465,Lake Amandaview,9/5/2025,9/10/2025 17:37
14,Patricia,Little,middletonjennifer@yahoo.com,(464)974-5556,North Amymouth,3/31/2022,9/14/2025 6:35
15,Martin,Roberts,fallen@li.net,138.024.5765x7072,Timothyview,11/16/2024,8/31/2025 1:01
16,David,Mcbride,caitlin10@allen-sullivan.info,+1-849-307-9208x527,East Kimberg,10/14/2023,8/25/2025 23:20
17,Ian,Rodriguez,jason56@tucker-anderson.net,(014)014-9166,New Tara,5/15/2024,9/7/2025 13:43
18,Catherine,Wade,kgibson@smith-wright.com,(542)408-0642x68171,Roseland,9/28/2024,8/20/2025 14:11
19,Alexander,Williams,kevinporter@waters.info,544.416.0143x02242,Lawrencebury,3/14/2021,8/20/2025 20:55
20,Natalie,Ramos,ssmith@wood.info,915-451-0188x769,Catherinehaven,12/12/2020,9/9/2025 10:07
21,Breanna,Roberts,derekmills@yahoo.com,001-155-923-3977,Christopherport,10/24/2020,9/3/2025 10:49
22,Angela,Mayer,xbarnes@hotmail.com,301.179.9757x831,New Michaelbury,4/5/2024,9/10/2025 18:01
23,Christina,Fowler,sandersmark@hotmail.com,001-744-059-9633x776,Katrinatown,8/20/2022,9/18/2025 6:35
24,Jeffrey,Casey,kenneth21@schmitt.com,(784)645-5042x866,Ibarraport,5/6/2021,8/22/2025 20:21
25,Darlene,Murray,smithdana@mccarthy.org,3298224429,Smithfort,7/15/2024,9/15/2025 13:19
26,Austin,Johnson,davidbennett@gmail.com,657-690-8701x263,Nealton,12/2/2024,9/10/2025 14:54
27,Michelle,Golden,calvinhernandez@kelly-brown.com,6042816636,North Zacharyton,9/18/2024,9/20/2025 5:47
28,Joseph,Ross,bcollins@baker-smith.com,(657)795-6357x399,Lake Jeremy,8/14/2021,8/22/2025 9:10
29,Jacqueline,Perez,christian27@yahoo.com,001-830-447-2407x853,Edwardsland,8/13/2025,9/3/2025 22:14
30,Nicholas,Hill,david01@case-welch.com,(703)398-7705x8124,Port Jaclynborough,4/20/2022,8/29/2025 3:18
31,Tami,Dickerson,dukemichael@hotmail.com,001-443-990-0748x713,Camachotown,5/11/2023,9/18/2025 15:08
32,Claudia,Johnson,elliottstephanie@hayden.net,001-816-438-0045x12489,Ramosbury,1/26/2021,8/31/2025 19:41
33,Andrew,Smith,yvalentine@hotmail.com,1921706047,Port Elizabeth,8/18/2023,9/10/2025 15:56
34,Chad,Howell,lisa13@gibson.org,669.452.2228,Rebeccaport,10/30/2023,9/6/2025 18:32
35,Christopher,Rowe,donna39@williams.net,843.006.6369,Wongburgh,8/17/2021,9/10/2025 8:32
36,Eric,Moran,morsejames@cooper.info,041.420.9573x7103,East Gregory,5/8/2024,9/11/2025 20:52
37,Steven,Johnson,joshuasimmons@horne.com,001-833-144-8169x308,East Kelseyhaven,8/4/2024,9/6/2025 9:28
38,Alison,Ellis,melissa16@gmail.com,001-282-485-8290x7022,East Cynthiabury,2/21/2023,9/19/2025 0:37
39,Nathan,Zimmerman,clarkcourtney@hotmail.com,+1-089-449-1703x310,Shariborough,11/20/2021,9/20/2025 8:43
40,Haley,Ewing,courtneymaynard@gmail.com,+1-973-783-4122x32960,Jameston,6/2/2024,9/16/2025 8:28
41,Zachary,Horton,cglass@gmail.com,+1-978-026-0476x5484,Zimmermanstad,2/18/2024,9/14/2025 4:03
42,Justin,Flowers,tiffanydavis@yahoo.com,001-606-054-3917x611,Michaelview,7/31/2022,8/26/2025 17:43
43,Meghan,Ibarra,jason48@hotmail.com,979.247.3612,Jessestad,9/28/2023,9/5/2025 15:12
